Belfield > Computer Science > B-003,Mon Nov 09 05:31:02 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 05:36:04 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 05:41:06 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 05:46:06 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 05:51:08 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 05:56:12 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 06:01:13 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 06:06:15 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 06:11:14 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 06:16:17 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 06:21:19 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 09 06:26:20 GMT+00:00 2015,0,0
