Belfield > Computer Science > B-003,Mon Nov 16 09:33:37 GMT+00:00 2015,27,26
Belfield > Computer Science > B-003,Mon Nov 16 09:38:47 GMT+00:00 2015,27,27
Belfield > Computer Science > B-003,Mon Nov 16 09:43:51 GMT+00:00 2015,30,30
Belfield > Computer Science > B-003,Mon Nov 16 09:49:03 GMT+00:00 2015,30,30
Belfield > Computer Science > B-003,Mon Nov 16 09:54:30 GMT+00:00 2015,30,30
Belfield > Computer Science > B-003,Mon Nov 16 09:59:51 GMT+00:00 2015,34,34
Belfield > Computer Science > B-003,Mon Nov 16 10:05:02 GMT+00:00 2015,36,36
Belfield > Computer Science > B-003,Mon Nov 16 10:09:36 GMT+00:00 2015,34,34
Belfield > Computer Science > B-003,Mon Nov 16 10:14:30 GMT+00:00 2015,34,34
Belfield > Computer Science > B-003,Mon Nov 16 10:19:27 GMT+00:00 2015,33,33
Belfield > Computer Science > B-003,Mon Nov 16 10:24:47 GMT+00:00 2015,37,37
