Belfield > Computer Science > B-003,Tue Nov 10 14:35:05 GMT+00:00 2015,25,24
Belfield > Computer Science > B-003,Tue Nov 10 14:40:14 GMT+00:00 2015,31,30
Belfield > Computer Science > B-003,Tue Nov 10 14:45:30 GMT+00:00 2015,30,29
Belfield > Computer Science > B-003,Tue Nov 10 14:51:09 GMT+00:00 2015,34,33
Belfield > Computer Science > B-003,Tue Nov 10 14:56:22 GMT+00:00 2015,36,36
Belfield > Computer Science > B-003,Tue Nov 10 15:02:04 GMT+00:00 2015,23,23
Belfield > Computer Science > B-003,Tue Nov 10 15:06:28 GMT+00:00 2015,17,16
Belfield > Computer Science > B-003,Tue Nov 10 15:10:59 GMT+00:00 2015,13,13
Belfield > Computer Science > B-003,Tue Nov 10 15:15:50 GMT+00:00 2015,17,17
Belfield > Computer Science > B-003,Tue Nov 10 15:20:48 GMT+00:00 2015,15,15
Belfield > Computer Science > B-003,Tue Nov 10 15:25:53 GMT+00:00 2015,14,14
