Belfield > Computer Science > B-003,Wed Nov 04 23:32:18 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Wed Nov 04 23:37:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Wed Nov 04 23:42:18 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Wed Nov 04 23:47:17 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Wed Nov 04 23:52:18 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Wed Nov 04 23:57:22 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Thu Nov 05 00:03:41 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Thu Nov 05 00:07:42 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Thu Nov 05 00:12:31 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Thu Nov 05 00:17:33 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Thu Nov 05 00:22:41 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Thu Nov 05 00:27:29 GMT+00:00 2015,0,0
