Belfield > Computer Science > B-004,Thu Nov 12 15:31:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 15:36:30 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Thu Nov 12 15:41:31 GMT+00:00 2015,2,2
Belfield > Computer Science > B-004,Thu Nov 12 15:46:58 GMT+00:00 2015,2,2
Belfield > Computer Science > B-004,Thu Nov 12 15:51:52 GMT+00:00 2015,4,4
Belfield > Computer Science > B-004,Thu Nov 12 15:57:18 GMT+00:00 2015,6,6
Belfield > Computer Science > B-004,Thu Nov 12 16:02:46 GMT+00:00 2015,28,27
Belfield > Computer Science > B-004,Thu Nov 12 16:07:56 GMT+00:00 2015,53,53
Belfield > Computer Science > B-004,Thu Nov 12 16:12:21 GMT+00:00 2015,56,56
Belfield > Computer Science > B-004,Thu Nov 12 16:17:16 GMT+00:00 2015,57,57
Belfield > Computer Science > B-004,Thu Nov 12 16:22:13 GMT+00:00 2015,57,57
Belfield > Computer Science > B-004,Thu Nov 12 16:27:11 GMT+00:00 2015,58,58
