Belfield > Computer Science > B-004,Fri Nov 06 08:30:11 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Fri Nov 06 08:35:18 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Fri Nov 06 08:40:20 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Fri Nov 06 08:45:27 GMT+00:00 2015,0,0
Belfield > Computer Science > B-004,Fri Nov 06 08:50:43 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Fri Nov 06 08:55:55 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Fri Nov 06 09:01:03 GMT+00:00 2015,5,5
Belfield > Computer Science > B-004,Fri Nov 06 09:06:03 GMT+00:00 2015,7,7
Belfield > Computer Science > B-004,Fri Nov 06 09:10:52 GMT+00:00 2015,7,7
Belfield > Computer Science > B-004,Fri Nov 06 09:15:52 GMT+00:00 2015,7,7
Belfield > Computer Science > B-004,Fri Nov 06 09:20:51 GMT+00:00 2015,8,8
Belfield > Computer Science > B-004,Fri Nov 06 09:25:56 GMT+00:00 2015,9,9
