Belfield > Computer Science > B-004,Wed Nov 11 10:30:30 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Wed Nov 11 10:35:33 GMT+00:00 2015,2,2
Belfield > Computer Science > B-004,Wed Nov 11 10:40:40 GMT+00:00 2015,4,4
Belfield > Computer Science > B-004,Wed Nov 11 10:45:51 GMT+00:00 2015,8,8
Belfield > Computer Science > B-004,Wed Nov 11 10:51:43 GMT+00:00 2015,8,8
Belfield > Computer Science > B-004,Wed Nov 11 10:57:07 GMT+00:00 2015,13,13
Belfield > Computer Science > B-004,Wed Nov 11 11:08:11 GMT+00:00 2015,52,52
Belfield > Computer Science > B-004,Wed Nov 11 11:11:29 GMT+00:00 2015,47,47
Belfield > Computer Science > B-004,Wed Nov 11 11:16:19 GMT+00:00 2015,46,46
Belfield > Computer Science > B-004,Wed Nov 11 11:21:32 GMT+00:00 2015,48,48
Belfield > Computer Science > B-004,Wed Nov 11 11:26:27 GMT+00:00 2015,51,51
