Belfield > Computer Science > B-002,Thu Nov 05 10:33:17 GMT+00:00 2015,36,36
Belfield > Computer Science > B-002,Thu Nov 05 10:38:47 GMT+00:00 2015,35,35
Belfield > Computer Science > B-002,Thu Nov 05 10:43:57 GMT+00:00 2015,35,35
Belfield > Computer Science > B-002,Thu Nov 05 10:49:05 GMT+00:00 2015,34,34
Belfield > Computer Science > B-002,Thu Nov 05 10:54:41 GMT+00:00 2015,35,35
Belfield > Computer Science > B-002,Thu Nov 05 11:00:36 GMT+00:00 2015,37,37
Belfield > Computer Science > B-002,Thu Nov 05 11:05:47 GMT+00:00 2015,35,35
Belfield > Computer Science > B-002,Thu Nov 05 11:09:57 GMT+00:00 2015,39,39
Belfield > Computer Science > B-002,Thu Nov 05 11:14:52 GMT+00:00 2015,34,34
Belfield > Computer Science > B-002,Thu Nov 05 11:19:35 GMT+00:00 2015,35,35
Belfield > Computer Science > B-002,Thu Nov 05 11:24:36 GMT+00:00 2015,31,31
